plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_00996,Ferrybridge Multi-fuel,UK,80.0,Non-renewable waste,Waste,,,2015,,False,2015-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Ferrybridge Mulitfuel Energy,,,48WSTN000FERR-GE,Fossil fuels,Non-renewable waste,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-1.281665,53.717808
OPSD_EU_01000,Edmonton,UK,50.0,Non-renewable waste,Waste,,,1970,,False,1970-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",LondonEnergy,,,,Fossil fuels,Non-renewable waste,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-0.041141000000000004,51.616568
OPSD_EU_02098,BNA0084,DE,36.0,Waste,Waste,Steam turbine,,1998,,False,1998-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Vattenfall Wärme Berlin AG,Berlin,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,13.246072,52.532146
OPSD_EU_02099,BNA0088b,DE,35.0,Waste,Waste,Combined cycle,,2009,,False,2009-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Solvay Chemicals GmbH,Bernburg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.75441,51.801239
OPSD_EU_02100,BNA0097,DE,34.0,Waste,Waste,Steam turbine,,1981,,False,1981-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MVA Bielefeld-Herford GmbH,Bielefeld,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.60719,52.04269
OPSD_EU_02101,BNA0117a,DE,12.0,Waste,Waste,Steam turbine,,1990,,False,1990-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Bonn,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,7.08055,50.73382
OPSD_EU_02102,BNA0139,DE,33.0,Waste,Waste,Steam turbine,,2009,,False,2009-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",swb Entsorgung GmbH & Co. KG,Bremen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.72887,53.12481999999999
OPSD_EU_02103,BNA0223a,DE,48.9,Waste,Waste,Steam turbine,,1955,,False,1955-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Stadtwerke Düsseldorf AG,Düsseldorf,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.81543,51.22455
OPSD_EU_02104,BNA0223b,DE,53.7,Waste,Waste,Steam turbine,,2000,,False,2000-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Stadtwerke Düsseldorf AG,Düsseldorf,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.813696,51.222794
OPSD_EU_02105,BNA0287a,DE,26.0,Waste,Waste,Steam turbine,,1969,,False,1969-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Mainova AG,Frankfurt am Main,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.63596,50.16173
OPSD_EU_02106,BNA0287b,DE,46.5,Waste,Waste,Steam turbine,,2006,,False,2006-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Mainova AG,Frankfurt am Main,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.63625,50.16171
OPSD_EU_02107,BNA0380,DE,23.3,Waste,Waste,Steam turbine,,2007,,False,2007-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EEW Energy from Waste Großräschen GmbH,Großräschen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,14.0241,51.5929
OPSD_EU_02108,BNA0398,DE,24.0,Waste,Waste,Steam turbine,,1999,,False,1999-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MVR Müllverwertung Rugenberger Damm GmbH & Co. KG,Hamburg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.934773445,53.52088514
OPSD_EU_02109,BNA0407,DE,13.2,Waste,Waste,Steam turbine,,1913,,False,1913-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Enertec Hameln GmbH,Hameln,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.38821,52.09875
OPSD_EU_02110,BNA0417,DE,22.5,Waste,Waste,Steam turbine,,2005,,False,2005-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EEW Energy from Waste Hannover GmbH,Hannover,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.85297,52.41178
OPSD_EU_02111,BNA0438,DE,37.5,Waste,Waste,Steam turbine,,1999,,False,1999-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EEW Energy from Waste Helmstedt GmbH,Helmstedt,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,10.97637,52.17138
OPSD_EU_02112,BNA0519,DE,38.0,Waste,Waste,Steam turbine,,1987,,False,1987-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",RWE Generation SE,Essen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.99382,51.51543
OPSD_EU_02113,BNA0590,DE,16.25,Waste,Waste,Steam turbine,,2005,,False,2005-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MVV Energie AG,Leuna,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,12.0193,51.29976
OPSD_EU_02114,BNA0591,DE,16.25,Waste,Waste,Steam turbine,,2007,,False,2007-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MVV Energie AG,Leuna,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,12.0193,51.29976
OPSD_EU_02115,BNA0616a,DE,12.0,Waste,Waste,Steam turbine,,1992,,False,1992-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",BASF SE,Ludwigshafen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.407401,48.552941
OPSD_EU_02116,BNA0622,DE,29.2,Waste,Waste,Steam turbine,,2005,,False,2005-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Müllheizkraftwerk Rothensee GmbH,Magdeburg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.67906,52.18534
OPSD_EU_02117,BNA0623,DE,29.2,Waste,Waste,Steam turbine,,2006,,False,2006-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Müllheizkraftwerk Rothensee GmbH,Magdeburg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.67906,52.18534
OPSD_EU_02118,BNA0640,DE,8.65,Waste,Waste,Steam turbine,,2006,,False,2006-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MVV Energie AG,Mannheim,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.45294,49.5224
OPSD_EU_02119,BNA0641a,DE,22.1,Waste,Waste,Steam turbine,,2010,,False,2010-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MVV Energie AG,Mannheim,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.45294,49.5224
OPSD_EU_02120,BNA0641b,DE,5.37,Waste,Waste,Steam turbine,,2012,,False,2012-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MVV Energie AG,Mannheim,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.452919999999999,49.52277
OPSD_EU_02121,BNA0641c,DE,3.88,Waste,Waste,Steam turbine,,2012,,False,2012-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MVV Energie AG,Mannheim,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.452919999999999,49.52277
OPSD_EU_02122,BNA0746,DE,18.0,Waste,Waste,Combined cycle,,1996,,False,1996-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",N-ERGIE AG,Nürnberg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.060556,49.438611
OPSD_EU_02123,BNA0750,DE,40.4,Waste,Waste,Steam turbine,,1991,,False,1991-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",GMVA Gemeinschafts-Müll-Verbrennungsanlage Niederrhein GmbH,Oberhausen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.8344,51.48548
OPSD_EU_02124,BNA0751,DE,21.1,Waste,Waste,Steam turbine,,2006,,False,2006-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",GMVA Gemeinschafts-Müll-Verbrennungsanlage Niederrhein GmbH,Oberhausen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.8344,51.48548
OPSD_EU_02125,BNA0845,DE,9.0,Waste,Waste,Steam turbine,,1988,,False,1988-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Stadtwerke Rosenheim GmbH & Co. KG,Rosenheim,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,12.134085,47.856134
OPSD_EU_02126,BNA0855,DE,30.0,Waste,Waste,Steam turbine,,2009,,False,2009-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Steag GmbH,Rüdersdorf bei Berlin,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,13.82987,52.49028000000001
OPSD_EU_02127,BNA0895,DE,24.4,Waste,Waste,Steam turbine,,1990,,False,1990-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",GKS Gemeinschaftskraftwerk Schweinfurt GmbH,Schweinfurt,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,10.224,50.02969
OPSD_EU_02128,BNA0939a,DE,19.5,Waste,Waste,Steam turbine,,2009,,False,2009-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EnBW Energie Baden-Württemberg AG,Stuttgart,,11WD4MUST5G----B,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.21895,48.81253
OPSD_EU_02129,BNA0969a,DE,18.0,Waste,Waste,Steam turbine,,1991,,False,1991-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",SWM Services GmbH,Unterföhring,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.639612,48.180506
OPSD_EU_02130,BNA0969c,DE,22.0,Waste,Waste,Steam turbine,,1984,,False,1984-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",SWM Services GmbH,Unterföhring,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.639612,48.180506
OPSD_EU_02131,BNA1020,DE,27.0,Waste,Waste,Steam turbine,,1996,,False,1996-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",RWE Power AG,Weisweiler,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.32117,50.83859
OPSD_EU_02132,BNA1108,DE,9.9,Waste,Waste,Steam turbine,,2010,,False,2010-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",PD energy GmbH,Bitterfeld - Wolfen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,12.28922,51.62965
